orbit,bx,phi,eta,pt,charge
7625286,3452,1.39626,-0.435,3,1
7625286,3453,-2.66163,-0.358875,3.5,-1
7629110,3471,1.01447,-0.467625,19,1
7635928,3461,2.97797,0,3,1
7636517,3534,1.4399,-0.80475,8,-1
7640356,3491,2.06167,0,3.5,1
7641310,3479,-0.349066,0.80475,3.5,1
7642450,3544,1.89805,-0.685125,3.5,1
7642942,3498,1.42899,-0.641625,8.5,1
7642942,3500,-0.185441,0.424125,8,-1
7643943,3486,1.73442,-0.358875,4.5,1
7646408,3459,1.16719,-0.76125,69.5,-1
7646408,3461,-2.26893,0.23925,47,1
7649581,3494,2.15984,0.380625,3,1
7650150,3471,1.42899,-0.358875,13.5,1
7653037,3546,1.39626,0,12,1
7655428,3520,1.41808,-0.511125,4.5,1
7655428,3522,-2.1053,0,4.5,-1
7656340,3549,1.7017,0,6.5,1
7657371,3544,-2.15985,0.424125,9,-1
7663617,3449,1.48353,-0.685125,5.5,-1
7663617,3451,-2.61799,-0.80475,4.5,1
7663964,3458,2.20348,0.685125,4,1
7671173,3525,2.45437,0.511125,4.5,1
7671173,3526,-0.796306,0.54375,3,-1
7673703,3502,3.09796,-0.685125,4.5,-1
7675341,3524,1.52716,-0.685125,6.5,-1
7676484,3512,1.27627,-0.685125,3.5,-1
7684037,3480,-0.610865,0.511125,4,1
7684037,3480,-0.70904,0.685125,3.5,1
7684699,3447,1.81078,0,12,1
7684699,3448,1.82169,0,15,1
7684699,3449,-1.01447,0.489375,11.5,-1
7685756,3498,1.31991,0,4.5,-1
7687847,3476,2.27984,0.511125,3,1
7694775,3518,-1.53807,-0.261,5.5,1
7697886,3541,1.88714,-0.80475,3.5,1
7697886,3543,-2.14894,-0.424125,3.5,-1
7706696,3495,1.69079,0.76125,26.5,-1
7706696,3497,-1.60352,0.76125,26.5,1
7709552,3496,1.49444,-0.358875,5.5,-1
7712737,3547,-1.53807,-0.685125,7.5,1
7714024,3459,0.57814,0.358875,3.5,-1
7717066,3515,-1.8435,-0.76125,3,-1
7720688,3482,-1.53807,-0.467625,4,1
7723123,3532,-0.949023,-0.641625,3.5,1
7723123,3533,-0.949023,-0.641625,3.5,1
7724332,3551,1.74533,-0.358875,6,1
7724332,3552,1.76715,-0.511125,19,1
7724332,3553,-3.11978,-0.511125,6,1
7724332,3554,-3.11978,-0.511125,6,1
7724332,3555,-3.11978,-0.511125,6,1
7729500,3517,0.83994,-0.424125,3.5,-1
7729500,3518,0.850848,-0.511125,3,-1
7729500,3519,-1.48353,0,3.5,1
7731515,3552,1.65806,0.511125,5.5,-1
7733110,3506,1.7126,-0.685125,4,1
7736878,3519,0.883573,0,4,-1
7737214,3533,-2.21439,-0.685125,17,1
7737898,3452,1.93077,0.685125,3.5,-1
7738429,3469,1.48353,-0.467625,13.5,-1
7738429,3470,-2.03985,0.163125,12,1
7738429,3471,-2.03985,0,11,1
7741767,3544,1.64715,-0.424125,3.5,1
7745826,3470,0.567232,0.1305,11.5,1
7745826,3470,0.534507,0.358875,6.5,1
7747457,3489,1.60352,-0.424125,7,1
7747457,3491,-1.51625,-0.511125,7,-1
7749658,3467,2.00713,-0.685125,3.5,1
7752710,3453,1.62534,0,7,1
7752901,3471,-1.60352,-0.619875,8.5,1
7754850,3539,-2.06167,0,3.5,-1
7755460,3452,2.01804,-0.80475,3.5,1
7755460,3453,-2.25802,-0.80475,3.5,-1
7757033,3492,1.10174,-0.228375,6.5,-1
7757418,3552,1.5708,-0.3915,3.5,1
7759510,3549,2.27984,-0.467625,30.5,1
7767531,3524,0.599957,-0.511125,21,1
7774457,3507,-1.8326,0.511125,10,-1
7776929,3538,1.14537,0.511125,3,1
7776929,3538,1.01447,0.358875,3.5,1
7777379,3509,1.94168,-0.685125,5,-1
7778913,3509,-1.63625,-0.80475,3.5,1
7781177,3450,1.14537,-0.685125,3.5,-1
7782749,3505,3.08705,-0.424125,3.5,1
7784252,3471,1.7126,0.511125,4,1
7788014,3500,2.14894,0,3.5,1
7788014,3501,2.29074,0.511125,3,1
7790100,3476,-1.63625,-0.511125,3,1
7790948,3499,1.02538,0.358875,4.5,-1
7792041,3547,-2.15985,-0.76125,4.5,-1
7793230,3488,2.18166,0.424125,9.5,-1
7796237,3453,1.36354,-0.315375,4.5,-1
7797600,3550,2.08349,0.3915,85.5,1
7801522,3498,-2.00713,0.163125,139.5,1
7802387,3530,2.22529,-0.641625,3,1
7802387,3531,-1.5708,0.511125,3,-1
7804373,3483,-2.02895,0.358875,3.5,-1
7805273,3520,-0.152716,-0.511125,3,1
7807596,3509,1.66897,0.511125,3,1
7807596,3510,-2.27984,0.511125,4,-1
7807596,3510,-2.17075,0.358875,3.5,-1
7808038,3545,1.55989,-0.80475,4.5,-1
7808719,3484,1.7017,-0.076125,6,1
7809770,3532,1.77805,-0.358875,5,1
7809770,3535,-0.458149,0,4.5,-1
7811128,3545,1.23264,0,3,-1
7811569,3537,-1.82169,-0.358875,4,-1
7811721,3549,1.69079,-0.511125,6.5,1
7813880,3530,1.31991,0,7,-1
7814990,3488,1.86532,-0.80475,3.5,1
7815824,3530,1.5817,-0.685125,8,-1
7818556,3478,2.02895,-0.23925,3.5,-1
7818671,3492,1.52716,0.80475,139.5,1
7818892,3535,2.01804,-0.41325,11,1
7818892,3536,-2.68344,0.41325,12.5,1
7826318,3495,1.7017,-0.685125,10,1
7826942,3479,2.33438,-0.358875,7.5,1
7829319,3507,0.981748,-0.80475,3.5,-1
7832115,3526,-1.46171,-0.685125,3.5,-1
7833520,3446,2.2362,-0.685125,3.5,1
7833520,3448,-1.95259,-0.424125,4.5,-1
7834460,3513,1.8326,0,5.5,-1
7834460,3514,-0.0109084,-0.45675,3.5,1
7834945,3541,2.30165,0.685125,3.5,1
7841066,3545,-0.70904,0.511125,5.5,1
7842753,3526,0.141808,-0.511125,3,-1
7844923,3472,1.7017,0.511125,3.5,1
7848672,3493,1.4399,-0.3915,3.5,1
7849008,3496,-0.741765,0,12,-1
7850811,3450,1.5817,0,139.5,1
7857108,3500,1.29809,0,3.5,-1
7857108,3501,1.15628,0,3,-1
7857268,3467,1.79987,-0.685125,3.5,1
7858037,3549,2.12712,0,4.5,1
7860044,3467,0.796306,-0.511125,6.5,-1
7860657,3493,1.28718,0.685125,78,1
7863146,3511,-1.1781,-0.80475,3.5,-1
7865125,3531,1.98531,-0.511125,3,1
7865125,3532,-2.47619,-0.511125,3,-1
7866270,3502,-2.33438,-0.261,3.5,-1
7869484,3511,0.152716,-0.206625,139.5,-1
7869484,3513,-2.69435,0.6525,7.5,1
7872433,3510,-3.01069,-0.511125,4.5,1
7879400,3487,-0.414516,-0.511125,3,1
7883703,3521,2.58527,-0.685125,3.5,1
7884546,3454,1.14537,-0.358875,3.5,-1
7892859,3508,-1.06901,-0.641625,3.5,1
7893440,3517,-1.13446,0.76125,18,1
7894476,3453,1.72351,-0.3915,8,-1
7894476,3454,1.72351,-0.54375,5,-1
7894982,3488,1.7126,-0.76125,10,1
7894982,3489,-1.47262,-0.80475,12.5,-1
7897755,3523,1.75624,-0.467625,4.5,1
7900913,3480,1.67988,0,5,-1
7902193,3518,2.2362,0.685125,4,1
7910779,3511,-1.21082,0,3.5,-1
7912213,3546,1.74533,0.358875,3.5,1
7912213,3548,-2.69435,0,3.5,-1
7913085,3536,1.5708,0.80475,8.5,-1
7913956,3446,-3.0216,0.685125,4,-1
7914403,3487,1.22173,0.424125,3.5,-1
7914403,3487,1.309,0.424125,3.5,-1
7916773,3490,1.88714,-0.80475,3.5,1
7919288,3537,1.82169,-0.1305,8.5,1
7919288,3538,1.82169,0,6.5,1
7923509,3457,0.501782,0,3.5,-1
7927816,3512,1.12356,0.685125,3.5,-1
7929419,3454,2.17075,0,3,1
7929419,3455,-1.64715,0.685125,3.5,-1
7933039,3490,0.1309,-0.23925,8,1
7933039,3491,0.141808,-0.206625,139.5,1
7933846,3487,1.40717,0,4.5,-1
7934113,3544,1.28718,-0.228375,3.5,-1
7937686,3532,1.42899,-0.685125,5,-1
7937686,3533,-1.7126,-0.358875,5,1
7937686,3534,-1.67988,-0.424125,6,1
7937757,3508,1.37445,-0.80475,5.5,-1
7939217,3474,2.65072,-0.80475,3.5,1
7939217,3476,-1.09083,-0.641625,4.5,-1
7941818,3552,0.392699,0,7.5,-1
7941818,3553,-2.41074,0,8,1
7941818,3554,-2.41074,0,8,1
7941818,3555,-2.41074,0,8,1
7948795,3473,-0.959931,-0.641625,3.5,1
7950160,3460,-1.66897,-0.685125,3.5,-1
7956378,3455,1.14537,-0.511125,3,1
7956378,3456,-2.94524,-0.424125,7,-1
7960954,3518,1.75624,-0.80475,3.5,1
7966183,3541,1.66897,-0.80475,3.5,1
7969911,3514,1.7017,0,7,-1
7974966,3482,-2.59618,0.80475,4,-1
7983705,3499,1.21082,-0.424125,3.5,-1
7985748,3519,1.78896,-0.358875,4,1
7987642,3456,2.08349,0.163125,8,1
7987642,3456,2.05076,0.163125,3.5,1
7987690,3506,-1.06901,-0.641625,3,1
7991718,3445,-1.51625,0.80475,5.5,1
7991806,3496,1.87623,-0.424125,3.5,1
7992250,3509,1.76715,-0.685125,4,1
7992250,3510,-2.34529,-0.80475,3.5,-1
7993220,3538,-1.47262,-0.424125,9.5,-1
7993220,3538,-1.4399,-0.424125,3.5,-1
7995139,3464,0.83994,-0.554625,3.5,-1
7996571,3553,0.785398,0.315375,14.5,1
7996571,3554,0.785398,0.315375,14.5,1
7996571,3555,0.785398,0.315375,14.5,1
7997806,3537,1.05811,-0.80475,9.5,-1
8000757,3549,1.79987,0.467625,6,1
8003991,3475,0.883573,0.511125,3.5,-1
8003991,3475,1.02538,0.358875,3.5,-1
8004499,3544,1.14537,0.80475,3.5,-1
8005587,3455,1.48353,-0.80475,8,-1
8006938,3476,1.13446,-0.685125,4,-1
8010044,3543,1.26536,0,3.5,-1
8010044,3544,-0.90539,0.609,3.5,1
8010044,3544,-1.02538,0.315375,3.5,1
8010332,3473,1.37445,0,76.5,1
8010332,3474,-2.11621,0.054375,139.5,-1
8011572,3511,2.17075,0,5.5,-1
8011572,3512,2.13803,0,8.5,-1
8011572,3513,-0.90539,0.76125,7.5,1
8014990,3509,-1.23264,-0.80475,12,1
8020154,3544,1.63625,0,6.5,1
8022296,3521,-0.992656,0.28275,4.5,1
8024562,3458,-3.0216,0.80475,3.5,-1
8024620,3479,-0.959931,0,2.5,1
8024695,3533,0.850848,-0.6525,22.5,1
8024695,3535,-2.30165,0.3915,26.5,-1
8026882,3474,0.403607,-0.685125,4.5,-1
8026882,3476,-2.51982,-0.76125,3.5,1
8026935,3495,3.05433,0.511125,3,1
8036183,3465,1.66897,0.685125,3.5,1
8036395,3447,1.99622,-0.358875,3.5,1
8036799,3516,1.62534,-0.80475,17.5,-1
8036799,3517,-2.03985,-0.80475,8.5,1
8037025,3474,-1.65806,-0.80475,25.5,1
8037729,3507,-0.927206,-0.80475,3.5,1
8038798,3451,-0.458149,-0.23925,3,-1
8039131,3499,-2.53073,0,3.5,-1
8040291,3543,-2.61799,-0.76125,7.5,1
8042050,3512,-0.610865,-0.80475,3.5,1
8042888,3551,1.74533,-0.80475,3.5,1
8042888,3552,-2.50891,-0.76125,6.5,-1
8046095,3516,1.81078,0.358875,12,-1
8051115,3483,1.27627,-0.206625,5.5,1
8058165,3485,1.69079,-0.261,6.5,1
8061425,3533,-0.90539,0.80475,3.5,1
8061673,3514,-2.18166,0.76125,25.5,-1
8061673,3515,-1.95259,0.467625,7.5,-1
8062087,3463,-2.66163,-0.80475,3.5,-1
8063666,3540,2.73799,-0.76125,6.5,1
8063666,3542,-0.512691,-0.424125,10.5,-1
8064632,3499,1.72351,-0.76125,6.5,1
8064840,3504,1.50535,0.685125,3.5,1
8065221,3523,1.64715,-0.685125,10,-1
8065355,3467,2.34529,-0.511125,27,1
8072392,3549,1.28718,0,4.5,1
8072392,3550,-2.61799,-0.315375,5,-1
8072392,3551,-2.61799,-0.424125,3.5,-1
8072864,3523,-1.07992,0.206625,9,1
8073974,3550,1.309,-0.80475,3.5,-1
8076350,3526,1.41808,-0.358875,4.5,-1
8076350,3527,1.37445,-0.511125,7.5,-1
8078798,3456,0.861756,0,5,1
8078798,3457,-2.77071,-0.435,3.5,-1
8081465,3535,1.61443,0.685125,12,1
8084591,3536,1.72351,-0.76125,4.5,1
8084591,3538,-1.40717,-0.511125,5.5,-1
8087031,3509,2.2362,0,4,1
8087803,3450,-1.51625,0.80475,5.5,-1
8094219,3465,1.29809,-0.358875,3.5,-1
8098173,3504,1.4508,-0.76125,3.5,-1
8098581,3455,1.40717,-0.685125,4,-1
8100606,3530,1.10174,-0.685125,3.5,-1
8101894,3477,1.47262,0,7.5,-1
8101894,3478,-1.41808,0.424125,7.5,1
8105323,3538,1.78896,-0.685125,5.5,1
8106002,3517,0.90539,-0.358875,3.5,-1
8110074,3506,1.29809,-0.685125,8.5,-1
8110074,3508,-2.01804,0.206625,11.5,1
8110434,3550,1.12356,-0.511125,2.5,1
8116609,3485,-2.02895,0.28275,11,-1
8117526,3486,1.51625,0.358875,3.5,1
8117526,3487,1.7126,0.511125,3,1
8118379,3463,-2.15985,0.23925,7,1
8123135,3495,1.54898,-0.80475,15,-1
8124454,3538,2.26893,0.511125,3,1
8133025,3473,1.61443,0.76125,139.5,-1
8133025,3475,-1.88714,0,53.5,-1
8133243,3464,1.54898,-0.424125,7.5,-1
8137563,3525,1.53807,-0.228375,4,1
8137563,3525,1.5817,-0.28275,2.5,-1
8139979,3449,1.54898,-0.80475,24.5,1
8142453,3549,1.65806,-0.358875,72,-1
8143212,3506,1.7126,-0.358875,11.5,-1
8143463,3460,1.76715,-0.76125,3.5,1
8143566,3519,1.5817,0.511125,89,-1
8145500,3498,1.65806,-0.424125,10.5,-1
8145820,3520,-2.22529,0,3.5,-1
8151738,3459,-0.981748,-0.641625,3.5,1
8154050,3463,-1.94168,0.80475,6,-1
8156178,3491,-0.578141,-0.358875,4.5,1
8156219,3506,2.15984,0.315375,5.5,1
8156219,3508,-0.949023,-0.36975,11,-1
8158059,3545,1.62534,0.511125,3,1
8158549,3546,1.98531,0.80475,19,-1
8158944,3535,-2.69435,0.358875,4.5,-1
8163894,3546,1.81078,-0.358875,4.5,1
8163981,3527,1.31991,-0.685125,3.5,-1
8163981,3528,1.21082,-0.80475,3.5,-1
8170120,3463,1.09083,0.206625,27,-1
8170120,3465,-2.87979,-0.511125,11,1
8171021,3535,2.02895,0.80475,5.5,-1
8171021,3537,-0.916298,0.54375,4.5,1
8171726,3487,1.42899,-0.685125,4.5,-1
8172036,3527,1.05811,0,3.5,1
8173254,3471,1.55989,-0.315375,3.5,-1
8175559,3507,2.11621,-0.511125,3,1
8181355,3525,1.51625,-0.358875,4.5,1
8181355,3526,1.59261,-0.511125,4.5,1
8188573,3447,0.599957,-0.685125,6,1
8194897,3551,0.90539,0.80475,3.5,-1
8194897,3553,-1.40717,0.467625,3,1
8194897,3554,-1.40717,0.467625,3,1
8194897,3555,-1.40717,0.467625,3,1
8195017,3551,2.00713,0.80475,3.5,-1
8195106,3463,-2.37801,-0.685125,3.5,-1
8195526,3470,2.30165,-0.685125,3.5,1
8200332,3446,-1.90895,0.23925,7.5,1
8205158,3472,1.03629,0.511125,6,-1
8209108,3544,0.719948,0.685125,5.5,-1
8210018,3452,2.11621,-0.424125,6.5,1
8210018,3454,-1.42899,-0.76125,3,-1
8212111,3467,1.42899,0.685125,4.5,-1
8213448,3520,1.74533,0.80475,4.5,-1
8218618,3543,1.85441,-0.80475,3.5,1
8218632,3457,1.9635,-0.06525,10.5,1
8218632,3458,-1.36354,0,9,-1
8221197,3454,-1.06901,0,10.5,-1
8226931,3501,2.50891,-0.685125,3.5,1
8226931,3502,2.59618,-0.80475,3.5,1
8227949,3451,1.39626,0.76125,3.5,-1
8229778,3492,1.62534,0,5.5,1
8233976,3542,2.31256,0.685125,6.5,-1
8238214,3445,1.63625,-0.511125,3.5,-1
8238214,3445,-0.578141,0.23925,3.5,1
8245868,3540,1.5817,-0.80475,8.5,1
8250139,3545,1.53807,-0.80475,4,-1
8253179,3481,1.8435,0,7,1
8255493,3489,-2.03985,-0.80475,3.5,-1
8255892,3519,1.53807,-0.315375,139.5,1
8255892,3521,-1.23264,0.489375,96.5,-1
8256233,3544,-1.05811,-0.76125,9,1
8260388,3522,2.15984,0.685125,5,-1
8260553,3475,-1.98531,0.054375,3.5,-1
8262679,3550,1.42899,-0.685125,6.5,-1
8264944,3449,1.89805,0,4.5,-1
8268474,3491,-2.50891,0.76125,8.5,-1
8269788,3496,1.63625,0,3.5,-1
8269788,3497,1.63625,0,3.5,-1
8275243,3524,-0.698132,0.511125,3,1
8279445,3517,1.47262,-0.511125,19.5,-1
8279445,3518,-2.44346,-0.424125,17,1
8282021,3467,-0.981748,0.76125,3,1
8286464,3540,1.52716,0.80475,3.5,-1
8286467,3546,-3.10887,-0.424125,6.5,1
8286467,3547,-3.11978,-0.467625,6.5,1
8287514,3468,1.39626,0,3.5,-1
8291107,3536,1.95259,0.424125,3.5,1
8291107,3537,1.93077,0.511125,3.5,1
8291107,3538,-2.13803,0.685125,3.5,-1
8292263,3533,-1.82169,-0.80475,3.5,-1
8292774,3524,1.79987,-0.467625,3,1
8294512,3518,1.66897,-0.511125,10.5,-1
8294512,3520,-0.829032,-0.358875,5,1
8295709,3467,1.7126,0,9,1
8301778,3466,1.65806,-0.80475,7.5,-1
8301886,3541,1.7126,0.728625,3.5,1
8302135,3498,1.4399,0.80475,4.5,-1
8305203,3454,-2.22529,0,3.5,-1
8308632,3545,1.7126,-0.41325,4.5,1
8308632,3547,-2.12712,0.184875,4.5,-1
8310698,3528,-2.24711,0.80475,3.5,-1
8311341,3504,1.49444,-0.511125,8.5,-1
8311341,3505,-2.41074,-0.6525,5.5,1
8315413,3472,1.47262,0.424125,3.5,-1
8315413,3473,-0.77449,-0.54375,3.5,1
8319362,3531,1.95259,0.424125,3.5,-1
8319372,3451,1.53807,-0.76125,139.5,-1
8323931,3455,1.9635,-0.511125,4.5,1
8324192,3459,0.90539,0.41325,5.5,1
8325066,3495,-2.34529,0.793875,3.5,-1
8331100,3523,-0.250891,0.76125,23,1
8331238,3530,0.83994,-0.511125,3.5,-1
8332289,3478,2.12712,-0.685125,3.5,1
8334838,3479,1.98531,-0.076125,3.5,1
8334838,3480,2.1053,0,3.5,1
8338204,3458,2.18166,-0.685125,3.5,1
8340168,3455,1.63625,-0.358875,4.5,1
8340168,3456,1.64715,-0.435,6.5,-1
8342492,3469,1.29809,0.10875,12,-1
8342492,3471,-1.19991,0,45,-1
8342623,3520,0.414516,-0.23925,26.5,-1
8342734,3525,-3.09796,0,3,-1
8346649,3547,0.927206,0.685125,3.5,1
8346649,3549,-2.98888,0.511125,3.5,-1
8347353,3459,-2.02895,0.424125,21,-1
8347843,3520,1.74533,-0.424125,3.5,1
8347843,3522,-1.7017,0,3.5,-1
8352022,3521,1.62534,0.511125,21,1
8359930,3481,-1.5708,-0.80475,6,1
8362129,3483,-2.6289,0.511125,11,-1
8363270,3541,2.18166,0.054375,4,1
8363270,3542,-1.62534,0,5,-1
8363576,3470,1.27627,-0.315375,4.5,-1
8363576,3472,-0.676315,0,3.5,1
8369057,3512,1.49444,0,53.5,-1
8369057,3513,-1.48353,-0.054375,81,1
8369057,3514,-1.48353,0,3.5,1
8369909,3515,-2.71617,0.685125,5.5,1
8379175,3549,1.37445,0.358875,5,-1
8379175,3550,1.35263,0.511125,9,-1
8381618,3457,-1.93077,0,3,1
8381618,3457,-2.08349,-0.358875,3.5,1
8382106,3491,-1.55989,-0.3915,3.5,1
8383002,3477,1.15628,-0.511125,3,-1
8383002,3477,1.29809,-0.358875,3.5,-1
8384021,3484,0.425424,0,13.5,1
8384021,3485,-3.09796,-0.467625,12.5,-1
8388198,3454,1.29809,-0.685125,4,-1
8388692,3463,-1.24355,0.511125,7.5,-1
8388692,3463,-1.19991,0,4.5,-1
8392570,3489,1.0472,-0.685125,6.5,-1
8399363,3458,-0.109083,-0.41325,3.5,1
8400061,3464,2.20348,-0.80475,11,1
8401535,3533,1.22173,-0.358875,4.5,-1
8401994,3451,-1.95259,-0.80475,5.5,-1
8405366,3462,1.69079,-0.76125,3,1
8405366,3464,-0.894481,-0.467625,4,-1
8406140,3514,1.76715,-0.511125,14,-1
8418469,3469,1.75624,-0.80475,5,1
8418469,3470,-1.76715,-0.80475,4,-1
8422691,3499,1.8326,0.511125,5.5,-1
8423619,3481,-2.55254,0,12,-1
8424539,3473,-0.938114,-0.641625,3.5,1
8428392,3527,-2.1053,0.511125,3,-1
8430899,3477,1.75624,0.511125,10.5,-1
8441223,3508,1.50535,-0.80475,9.5,-1
8447338,3497,1.41808,-0.424125,3.5,-1
8448177,3487,1.52716,-0.76125,6,1
8448416,3468,2.03985,0.511125,6.5,1
8455985,3490,-1.1781,-0.80475,9,1
8456355,3509,1.18901,-0.80475,3.5,-1
8460067,3474,-1.13446,0.489375,3.5,-1
8465561,3515,1.5708,0.80475,12,-1
8465622,3460,-1.41808,0.261,4.5,1
8475377,3449,1.38535,-0.511125,4.5,-1
8476873,3483,1.64715,-0.685125,5,1
8476873,3484,1.72351,-0.76125,3,1
8478293,3449,1.4399,0.511125,4,1
8479662,3475,-1.90895,0.80475,3.5,1
8481959,3502,1.35263,-0.80475,5.5,-1
8487511,3552,1.75624,-0.685125,4,1
8488257,3476,1.309,-0.685125,5.5,-1
8492694,3545,2.02895,0.358875,5.5,1
8492694,3546,2.05076,0.28275,8.5,1
8492694,3547,-1.54898,-0.76125,3,-1
8499280,3533,1.64715,-0.685125,4.5,1
8499280,3534,-2.63981,-0.424125,4.5,-1
8499280,3535,-2.63981,-0.511125,7.5,-1
8501237,3548,1.72351,-0.358875,4,-1
8501237,3549,1.61443,-0.467625,3.5,-1
8502458,3546,0.359974,-0.685125,3.5,-1
8510060,3458,2.1053,-0.358875,7.5,1
8510543,3495,1.39626,-0.511125,4,1
8510698,3506,-1.7017,-0.23925,6,1
8512056,3546,1.75624,-0.685125,4,1
8512056,3548,-3.01069,-0.511125,7.5,-1
8516036,3550,1.11265,0.76125,3.5,-1
8516036,3552,-2.498,0.424125,18.5,1
8519510,3471,1.18901,0,3.5,-1
8524733,3484,-2.20348,0.424125,3.5,-1
8526925,3449,1.69079,-0.685125,3.5,1
8528669,3451,2.02895,0.685125,3.5,1
8536983,3445,1.91986,-0.80475,12,1
8538974,3550,1.19991,-0.358875,34.5,1
8538974,3551,1.16719,-0.511125,2.5,-1
8550130,3446,-1.01447,-0.641625,3.5,1
8555235,3499,1.42899,-0.424125,6,1
8555235,3500,1.42899,-0.511125,8.5,1
8555235,3501,-2.01804,-0.511125,7.5,-1
8556207,3453,1.9744,-0.424125,3.5,1
8556207,3454,1.9635,-0.511125,3,1
8566792,3525,1.85441,-0.685125,3.5,1
8568114,3470,2.03985,-0.511125,3.5,1
8568114,3471,2.05076,-0.511125,3.5,1
8568810,3525,-2.94524,-0.511125,5.5,-1
8570464,3513,1.76715,0.511125,11.5,-1
8570507,3487,1.309,-0.358875,4,-1
8575606,3489,-2.72708,-0.511125,42.5,1
8578865,3512,1.41808,0,3.5,1
8582208,3516,1.73442,0,53.5,-1
8582208,3517,1.72351,0,34,-1
8582208,3518,-1.64715,0.6525,39.5,1
8582889,3505,-1.7126,-0.685125,4.5,-1
8583037,3479,-1.7017,0.685125,3.5,-1
8586510,3492,1.41808,-0.80475,3.5,1
8586572,3539,-0.621774,-0.80475,3.5,1
8597514,3520,1.309,0.80475,3.5,-1
8597856,3445,0.970839,-0.80475,3.5,-1
8600264,3480,1.12356,-0.685125,3.5,-1
8602774,3498,1.85441,0.511125,3,1
8602774,3499,-1.90895,0.424125,3.5,-1
8603133,3517,-2.29074,0.6525,3.5,1
8603133,3518,-2.29074,0.6525,3.5,1
8603634,3540,1.67988,0.80475,54,-1
8604122,3549,-2.90161,-0.206625,72.5,1
8608622,3497,-1.95259,0,3.5,-1
8609230,3445,1.9635,0.467625,3.5,1
8609230,3446,-0.959931,0.609,9,-1
8610880,3445,2.22529,-0.641625,17.5,-1
8610880,3446,2.2362,-0.641625,19,1
8611157,3483,-0.403608,-0.76125,3.5,1
8612740,3509,-2.57436,0.6525,9,1
8615760,3551,-2.60709,0.685125,5.5,-1
8619368,3453,1.62534,-0.467625,74.5,-1
8619368,3454,-1.35263,-0.685125,34.5,1
8620252,3500,-2.99978,0.358875,3.5,-1
8621616,3545,1.02538,-0.358875,4.5,-1
8621616,3547,-1.99622,-0.76125,3.5,1
8624309,3534,1.50535,-0.23925,5.5,1
8625216,3492,1.76715,0.685125,5.5,1
8630558,3551,-1.72351,-0.358875,3.5,-1
8630881,3533,1.65806,-0.10875,60,-1
8630881,3535,-0.916298,0.435,27.5,1
8634234,3456,-1.5708,-0.685125,11,-1
8636699,3462,1.4508,0,6.5,-1
8636699,3463,-2.43255,0.467625,5.5,1
8654406,3467,0.77449,0.685125,4,-1
8655277,3505,1.46171,0,18.5,-1
8658336,3492,1.75624,-0.435,2.5,-1
8661162,3472,-1.61443,0.467625,6.5,-1
8661537,3533,-2.53073,-0.76125,3,-1
8661753,3475,1.06901,0.685125,3.5,-1
8664916,3507,-1.77805,-0.76125,3,1
8671119,3476,1.89805,-0.685125,4,1
8672486,3490,1.48353,0.685125,5,-1
8678816,3467,-0.90539,0.80475,3.5,-1
8683165,3543,1.39626,-0.424125,21.5,-1
8683886,3497,1.7017,-0.424125,5.5,1
8686700,3457,1.38535,-0.261,7.5,-1
8686700,3458,-1.88714,0.532875,13,1
8687442,3448,1.41808,0,5,-1
8687442,3450,-0.654498,0,9.5,1
8687912,3455,1.73442,-0.685125,6.5,1
8693594,3492,-1.93077,0.424125,3.5,-1
8693594,3494,-1.95259,0.424125,3,-1
8709129,3458,1.19991,-0.80475,3.5,-1
8709453,3447,-2.57436,0.511125,3,-1
8711683,3491,-0.741765,0.3915,4.5,-1
8711935,3549,1.72351,0.358875,3.5,1
8712273,3548,1.14537,0.80475,3.5,-1
8712978,3516,0.665407,0.3915,8.5,-1
8712978,3518,2.57436,0.424125,2.5,1
8713971,3457,1.42899,0,4.5,-1
8717960,3547,1.50535,-0.511125,34.5,-1
8720333,3502,1.41808,-0.80475,3.5,-1
8723757,3461,-1.64715,-0.511125,7.5,1
8724376,3538,1.82169,-0.685125,4,1
8726475,3533,2.05076,0,3.5,-1
8731199,3523,1.75624,-0.76125,3.5,1
8731199,3525,-1.67988,-0.76125,3,-1
8735949,3470,1.51625,0,4.5,-1
8738404,3469,2.27984,0.3915,3.5,1
8738404,3471,-1.62534,0,5.5,-1
8740271,3490,1.09083,0.80475,3.5,1
8740271,3492,-2.87979,0.511125,5,-1
8741181,3529,1.309,-0.685125,3.5,-1
8741542,3545,0.785398,-0.358875,5,-1
8742564,3479,1.51625,-0.358875,7,-1
8745275,3456,-2.01804,-0.3915,6.5,-1
8745905,3446,-2.51982,0.685125,5.5,1
8748141,3511,-1.7126,0.880875,6,1
8750308,3527,1.41808,0,5,1
8750308,3528,1.40717,0,4.5,1
8751429,3460,-2.08349,0.467625,8.5,-1
8752633,3470,0.894481,0,9.5,-1
8758888,3469,1.40717,0.532875,7.5,1
8758888,3470,1.42899,0.511125,14.5,1
8758888,3471,-1.63625,0,14,-1
8758986,3520,1.10174,0.76125,7.5,1
8758986,3522,-1.36354,0.424125,5,-1
8760770,3525,-1.4399,0.6525,3.5,-1
8762274,3447,1.75624,-0.80475,4.5,1
8763989,3519,-0.06545,0.80475,3.5,1
8767758,3549,-0.479966,-0.80475,6.5,-1
8768363,3536,1.24355,-0.358875,5,-1
8775437,3466,1.02538,0.511125,3,-1
8775793,3490,-0.589049,-0.80475,3.5,1
